view,input_name,object,defect_type,real_scope,n_real,n_generated,status,nn_mean,nn_median,nn_p05,nn_p95,mnn_score,kid,fid
unfiltered,stageA_procedural,capsules,__all__,object_all,12,500,ok,0.723609746867648,0.748778148336861,0.46583688396407597,0.9107148433501119,0.5833333333333334,0.005402490231710466,174.6038969887765
unfiltered,stageA_procedural,pcb1,crack,object_all,23,125,ok,0.7105579516854756,0.7081579489144308,0.6668049205130925,0.7591367274935567,0.043478260869565216,0.2362639522294092,329.46570503494655
unfiltered,stageA_procedural,pcb1,perlin,object_all,23,125,ok,0.7114132105589486,0.721938913715375,0.5808737005466649,0.8005783076694951,0.13043478260869565,0.18865953135206448,312.3459349031749
unfiltered,stageA_procedural,pcb1,scratch,object_all,23,125,ok,0.7099838090297831,0.7140914174809816,0.6136231741651682,0.7962644190016775,0.13043478260869565,0.19143447979599948,315.23882665170294
unfiltered,stageA_procedural,pcb1,spot,object_all,23,125,ok,0.7089820770215732,0.7199441786023892,0.5338474809072591,0.8023709301901618,0.17391304347826086,0.18263476878970497,315.36997818957167
unfiltered,stageA_procedural,pcb1,__all__,object_all,23,500,ok,0.710234262073945,0.7155111232073935,0.6018967605773786,0.7968125031811173,0.2608695652173913,0.1906374045900745,313.7398079478858
unfiltered,stageB_sd2/searched,capsules,type0,type:type0,9,375,ok,0.6274531906479227,0.6493384159145619,0.3789628346787804,0.8106112696117106,0.6666666666666666,0.020223255707957133,207.36936899579763
unfiltered,stageB_sd2/searched,capsules,type1,type:type1,3,125,ok,0.689213457313332,0.719795907426327,0.3357769487581958,0.9162329588988506,0.3333333333333333,0.13416151703916102,286.26007177684454
unfiltered,stageB_sd2/searched,capsules,__all__,object_all,12,500,ok,0.6704407035609941,0.6899762204853348,0.3913372773655306,0.8966119038508795,0.5833333333333334,0.014334321281085138,192.6748695023599
unfiltered,stageB_sd2/searched,pcb1,type0,type:type0,16,348,ok,0.7119195704662449,0.7149526328857427,0.582130406621528,0.8067407702187316,0.25,0.20513251590153647,293.07575386431574
unfiltered,stageB_sd2/searched,pcb1,type1,type:type1,7,152,ok,0.13146133639160587,0.11962865791095356,0.08642822230438701,0.2326466701932049,0.2857142857142857,0.3255377644678963,446.3934197982728
unfiltered,stageB_sd2/searched,pcb1,__all__,object_all,23,500,ok,0.7052600429695788,0.7138716461684325,0.5514800453957542,0.8155096715121793,0.17391304347826086,0.181205303476073,312.0172056470757
filtered,stageA_copypaste,capsules,type0,type:type0,9,276,ok,0.785655276081926,0.7968914193225808,0.6758611693311976,0.8537676626193157,0.7777777777777778,0.008763585664298912,174.44457755328511
filtered,stageA_copypaste,capsules,type1,type:type1,3,74,ok,0.8875508425902462,0.896252637765156,0.7859203499077196,0.930213112265298,0.6666666666666666,-0.00930291564044916,143.64948293897046
filtered,stageA_copypaste,capsules,__all__,object_all,12,350,ok,0.809678619462881,0.8123914684990037,0.6805812144327226,0.9160147573992292,0.75,-0.0011190671348781933,150.26025487238738
filtered,stageA_copypaste,pcb1,type0,type:type0,16,84,ok,0.7532324249833511,0.7418179899850883,0.6819521666103302,0.8416706315086934,0.125,0.23508771344270452,304.8521314839853
filtered,stageA_copypaste,pcb1,type1,type:type1,7,0,empty,,,,,,,
filtered,stageA_copypaste,pcb1,__all__,object_all,23,84,ok,0.7532324249833512,0.7418179899850883,0.6819521666103302,0.8416706315086934,0.08695652173913043,0.22512811599610894,324.8631496299408
filtered,stageA_procedural,capsules,crack,object_all,12,119,ok,0.7966171051701686,0.7956782842532679,0.6676614234536803,0.9121425875673871,0.3333333333333333,0.014999956073260545,166.94893302067112
filtered,stageA_procedural,capsules,perlin,object_all,12,82,ok,0.8002745429613112,0.7990479651295214,0.6687004275856022,0.9218436464696069,0.3333333333333333,0.02363133487480429,181.0622229621564
filtered,stageA_procedural,capsules,scratch,object_all,12,79,ok,0.8056320173389995,0.8053597828144716,0.6776232116855675,0.9138984097685454,0.5,0.02732500057110343,189.0534232895763
filtered,stageA_procedural,capsules,spot,object_all,12,74,ok,0.7958709462075045,0.7896135081276245,0.6569604569077443,0.9156913207494832,0.5,0.012544674138532219,172.6618444505578
filtered,stageA_procedural,capsules,__all__,object_all,12,354,ok,0.7993201339751802,0.7985395031307798,0.6661752485600446,0.9154855589206338,0.5833333333333334,0.013279231409249359,172.56339211072867
filtered,stageA_procedural,pcb1,crack,object_all,23,108,ok,0.7119439511501313,0.7083061293555308,0.6669900480582616,0.7620855841428827,0.043478260869565216,0.2355359041992635,329.3558319731571
filtered,stageA_procedural,pcb1,perlin,object_all,23,90,ok,0.7382570170919143,0.7346120742199456,0.6830256172474342,0.8015316284216457,0.13043478260869565,0.19912188728817481,311.72856701353
filtered,stageA_procedural,pcb1,scratch,object_all,23,89,ok,0.7290277040149015,0.7240933705499869,0.6791692086993478,0.7970858767227085,0.13043478260869565,0.20652212382433666,315.2399467104369
filtered,stageA_procedural,pcb1,spot,object_all,23,80,ok,0.7438229113863248,0.7417664032779042,0.6833332615839185,0.8380888372427917,0.13043478260869565,0.18991948107997825,312.2732771694893
filtered,stageA_procedural,pcb1,__all__,object_all,23,367,ok,0.7294887652063178,0.7248137693925867,0.673023187054276,0.8012623033588984,0.21739130434782608,0.20467460569668816,314.1062155067
filtered,stageB_sd2/searched,capsules,type0,type:type0,9,201,ok,0.7413450156703826,0.7482321380326032,0.6458704090572585,0.8266237576231196,0.5555555555555556,0.04373892485465003,213.86392286235983
filtered,stageB_sd2/searched,capsules,type1,type:type1,3,105,ok,0.7468559166103865,0.7635908646050115,0.4866892681683647,0.9207475331821096,0.3333333333333333,0.11604732876003254,267.00479579168535
filtered,stageB_sd2/searched,capsules,__all__,object_all,12,306,ok,0.7773499704602935,0.7827476632374352,0.6469090826935294,0.9029672055868532,0.5,0.02114780822964102,186.31007827549354
filtered,stageB_sd2/searched,pcb1,type0,type:type0,16,247,ok,0.7302929815696011,0.7216820028150118,0.6716545103226905,0.8148646562951135,0.1875,0.21645033161971972,290.05116444582586
filtered,stageB_sd2/searched,pcb1,type1,type:type1,7,62,ok,0.12083430729184039,0.11530288895863824,0.08745314907615402,0.1843582815155467,0.14285714285714285,0.3622704201105562,449.0634133994021
filtered,stageB_sd2/searched,pcb1,__all__,object_all,23,309,ok,0.7370946534425268,0.7285635782805131,0.6752028439996484,0.8242129887998135,0.13043478260869565,0.19635249301460034,309.3437497351667
