run_name,run_signature,requested_group,canonical_group,object,seed,model,model_revision,input_size,total_steps,batch_size,learning_rate,weight_decay,train_total,train_real,train_synthetic,sampled_real_good,sampled_real_bad,sampled_synthetic_bad,test_total,test_good,test_bad,macro_f1,anomaly_f1,auroc,normal_false_positive_rate,peak_vram_gib,training_seconds,data_manifest_sha256,split_manifest_sha256,selection_sha256
m16_real_20_pcb1_seed_42,192ea07cdfe3561faf3e62f1132359a885a8052e60ff5e1a3c5da0b363ab4fd6,real_20,real_20,pcb1,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,622,622,0,782,818,0,442,402,40,0.6825689955883861,0.48148148148148145,0.9140547263681591,0.2064676616915423,3.1747636795043945,31.087751799997932,5f67b75f89f52e786eed71a28328bc11e35c1f22654ee5792202d275d0e5ce25,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_real_20_capsules_seed_42,12d804deb14a7846dc4efa0da35b7b6aea5b33a7abd43a5cf44820b173fd5f02,real_20,real_20,capsules,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,381,381,0,782,818,0,281,241,40,0.6389721627408993,0.4,0.8104771784232365,0.14937759336099585,3.1747636795043945,30.599449600002117,5a952b3c8134549971301a67aebacd9be452f7ffda718824be4d97d5fa4966ad,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_syn_125_pcb1_seed_42,4b03de0182c0a49c5016f4c9d41430d285c0a7c34bcad5b9a7eb70886fe40189,syn_125,syn_125,pcb1,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,737,612,125,815,60,725,442,402,40,0.6780826558265582,0.47560975609756095,0.8778606965174129,0.21144278606965175,3.1747636795043945,44.376722200002405,b2e6c3b238b3854f5d342505225084cbef5fbce4ed36c9724f70cd50f554e77a,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_syn_125_capsules_seed_42,aba2464d12df0fbc65e6be351e9bf5f1de0cfe40190d8dd60126f969bcb72a6e,syn_125,syn_125,capsules,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,496,371,125,815,60,725,281,241,40,0.5021365294424179,0.10526315789473684,0.46016597510373447,0.058091286307053944,3.1747636795043945,44.96075350000319,98776a0a68d4ded3cb99596ffbac7d2176f4cb2247741ddc7fb51cc03450294e,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_syn_250_pcb1_seed_42,8726ff47c0e330dab519671290848d96e0d8f9f4c6653d19010bf0fe42e9dc48,syn_250,syn_250,pcb1,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,862,612,250,815,31,754,442,402,40,0.3373313343328336,0.0,0.1335509950248756,0.44029850746268656,3.1747636795043945,44.48787959999754,2fcdc13b3b487572082171bffae869fb74baf0ce10a1bd62bb5f340299c538df,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_syn_250_capsules_seed_42,f155fecf95eb1dcbbe26f220d6252e9b234fc0e4abfe56d3f73cce866c1892a3,syn_250,syn_250,capsules,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,621,371,250,815,31,754,281,241,40,0.45370103686635943,0.15625,0.4324170124481328,0.3236514522821577,3.1747636795043945,45.3849945999973,53c93b17f397eadb69d68c2a8453445f4626fe44ae84645c473e25860bd5a1b9,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_src_procedural_pcb1_seed_42,d283075cf2cedbeaf9adb87a9c3dc4367fbfb70560029048bc7a0bafad20a674,src_procedural,src_procedural,pcb1,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,1112,612,500,817,14,769,442,402,40,0.5417372613478315,0.2545454545454545,0.7271766169154229,0.25870646766169153,3.1747636795043945,44.773924199995236,6dc4cde3ab95691592557da29d06d840c371b495bcc184363de285403e1573fe,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_src_procedural_capsules_seed_42,6743ddbbce7ba86419ea65873815c14622570da346ba4031814b256dc538dd41,src_procedural,src_procedural,capsules,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,871,371,500,817,14,769,281,241,40,0.47229546446117954,0.16806722689075632,0.5,0.2863070539419087,3.1747636795043945,45.75267019999592,32117cf619739c74ceb9089d2f8b1d43c93d458806cbdd38a886a0d0ce028313,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_src_copypaste_pcb1_seed_42,c46005af5fc093886a1ba08a1d07f148ea354cdaf49ecbdfe38863732af2cb09,src_copypaste,src_copypaste,pcb1,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,1112,612,500,817,14,769,442,402,40,0.4212943874192545,0.10837438423645321,0.39443407960199006,0.3781094527363184,3.1747636795043945,44.89636520000204,d9701fdebe095da10b1ed43268845f2ce6c4918aaf00ca4c49178921d9620c93,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_src_copypaste_capsules_seed_42,b5508446141917e03c6f07913cc702d1d40f0cecf5fa34cbeae9c2dc7f4f1beb,src_copypaste,src_copypaste,capsules,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,871,371,500,817,14,769,281,241,40,0.4858809721071527,0.22058823529411764,0.6055497925311204,0.3360995850622407,3.1747636795043945,45.54186930000287,d22be26bdefdb1917f88a8762dbf6d7fcdc4db6da72b1090db422da865cdb4d9,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_src_diffusion_pcb1_seed_42,1c1b71b256432589379ade2268e5605867c388d9f0a5940e1ee97b17ba1d1381,src_diffusion,src_diffusion,pcb1,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,1112,612,500,817,14,769,442,402,40,0.21131663180318327,0.0061162079510703364,0.14477611940298507,0.7114427860696517,3.1747636795043945,44.710063600003195,089e5305192ce3142c3540cc3f779226ca1120d8a9615d2b15e5672a3766903c,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_src_diffusion_capsules_seed_42,397d09f88a818c321a46885f447578b68eb842f1d12d3e3985a3dc6ffecf84a8,src_diffusion,src_diffusion,capsules,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,871,371,500,817,14,769,281,241,40,0.3713646532438479,0.0,0.21234439834024899,0.3112033195020747,3.1747636795043945,45.85206150000158,0979f6eacfde5b554e72b96c9cb898c8d7fffd2fadcaa73a4e139944f9723573,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_procedural_norealstats_pcb1_seed_42,abe2cc3dd1276ac7ed9263a6b9e20387e0324a9266349f2c69301b5883ed36ac,procedural_norealstats,procedural_norealstats,pcb1,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,1112,612,500,817,14,769,442,402,40,0.599432303956773,0.345679012345679,0.8091417910447761,0.23383084577114427,3.1747636795043945,44.527695500000846,352999b57f17913eda0923615bebb8790bd73df5aca954a69d32493472e91085,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_procedural_norealstats_capsules_seed_42,3a986431183cda4105115b347f1359bac2d750620ae252137e14a766bf3d611b,procedural_norealstats,procedural_norealstats,capsules,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,871,371,500,817,14,769,281,241,40,0.4848047113728541,0.1951219512195122,0.5119294605809128,0.2946058091286307,3.1747636795043945,45.919794499997806,3d5a2aaf6285a6cfe1c540090568e3d570d0ee7de7224faafaaa960cefb6447a,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_bucket_original_pcb1_seed_42,1c0d6528219b7215deaceab88542d97909adeb3fb125d3625db4a5294559787e,bucket_original,bucket_original,pcb1,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,862,612,250,815,31,754,442,402,40,0.24426418545469006,0.006600660066006601,0.13765547263681593,0.6517412935323383,3.1747636795043945,44.651199600004475,97fd95a224dd32c776eeb1499cf643b9c1d799a55a353207373e7f154387f180,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_bucket_original_capsules_seed_42,166b4f273f23deaf52c12a6a1cbaa5b097b4bb7ec2d0381a0997eeeff007d7c9,bucket_original,bucket_original,capsules,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,621,371,250,815,31,754,281,241,40,0.36425339366515835,0.0,0.20067427385892117,0.33195020746887965,3.1747636795043945,45.45752110000467,7b96284f9afd4104cdbb6c95ff8104ca3287fec48b545d120f95aaa50bd2b821,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_bucket_searched_pcb1_seed_42,bb6facaa05fd6cbcf21571abb91edaf4cebf2d54ceaff6b2663f7a7fae083f1f,bucket_searched,bucket_searched,pcb1,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,862,612,250,815,31,754,442,402,40,0.2866443013872518,0.007434944237918215,0.14203980099502486,0.5671641791044776,3.1747636795043945,44.69988340000418,71dee5be8c142c67783c442b249db28a6d02f595f8d9c52a2134ef3ebc42feda,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_bucket_searched_capsules_seed_42,0905971899934612aa4b4c470f17c955f3c565ce58b401c96c4d5a39707eb01f,bucket_searched,bucket_searched,capsules,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,621,371,250,815,31,754,281,241,40,0.36711711711711714,0.0,0.22759336099585062,0.3236514522821577,3.1747636795043945,45.764506400002574,5c60b960f195d7e54e397af8cfc0b731d970d3a3812e01373b931eb3633720ba,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_base_sdxl_pcb1_seed_42,3682b97547a79fc2f0d50d970fc56d9a030d9eb3dd5d112badf9c41448564954,base_sdxl,base_sdxl,pcb1,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,862,612,250,815,31,754,442,402,40,0.2916666666666667,0.0,0.1419776119402985,0.5472636815920398,3.1747636795043945,44.375043000000005,f0b6b1af548930cafa05ba17308546b31c11cf66325c4ebafa9e54d0004112dc,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_base_sdxl_capsules_seed_42,bbc72f46fae2065fc6c341cec524230f527c1934bbe51abf34077920529f3fb6,base_sdxl,base_sdxl,capsules,42,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,621,371,250,815,31,754,281,241,40,0.4025257189493353,0.019801980198019802,0.2966804979253112,0.24896265560165975,3.1747636795043945,45.219457799998054,30623ca4c8a6ef06a4f7bee0047dbfb5a18aaed26bec36529de603c1650b39a6,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_real_only_pcb1_seed_43,86693ee4aa5f52b6eb0283975b6f3746b67b51b0f1aa510834901ef9fc7a7460,real_only,real_only,pcb1,43,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,612,612,0,797,803,0,442,402,40,0.6825689955883861,0.48148148148148145,0.9524875621890547,0.2064676616915423,3.1747636795043945,30.89899410000362,2fc1754aad5b8aabf5fcfe29f70036c13fc41ce116fa05e0dd3e8a012e56480f,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_real_only_pcb1_seed_44,00a34faf67561b30bdbfca7d06ab8655d71fbc5c7c7a865eb214b5236da4039a,real_only,real_only,pcb1,44,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,612,612,0,809,791,0,442,402,40,0.6772419954812161,0.4720496894409938,0.9183457711442785,0.2064676616915423,3.1747636795043945,31.00516439999774,2fc1754aad5b8aabf5fcfe29f70036c13fc41ce116fa05e0dd3e8a012e56480f,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_real_only_capsules_seed_43,c7990bb5091b7220ca0f0b055f55549669bdfc96b6ffb10b8e3f63af5f0d4c6d,real_only,real_only,capsules,43,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,371,371,0,797,803,0,281,241,40,0.5193623426382047,0.13793103448275862,0.8163900414937759,0.058091286307053944,3.1747636795043945,30.29348729999765,2fcd4f237df99ebd8720856570c22f0a493fd2b782aa0bfd5a6e51a4a498b267,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_real_only_capsules_seed_44,bd4503b61fdb81fe57effea279af9f3f87c3bec2bea7dcfca3a0a116d32093a8,real_only,real_only,capsules,44,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,371,371,0,809,791,0,281,241,40,0.5492855059784194,0.18518518518518517,0.8382261410788382,0.03734439834024896,3.1747636795043945,31.012309300000197,2fcd4f237df99ebd8720856570c22f0a493fd2b782aa0bfd5a6e51a4a498b267,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_filtered_syn_pcb1_seed_43,e331c33bd614855c5a3d2ba9c08ba5b591d425322fce1edaeb7663f427727760,filtered_syn,filtered_syn,pcb1,43,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,1112,612,500,815,9,776,442,402,40,0.21412609085718948,0.023880597014925373,0.15534825870646765,0.7238805970149254,3.1747636795043945,44.22014850000414,1a93ad1c8ce1a62fb929a6fdd0a9ad18ac3051453c12d2969bfbd16cb99a64c2,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_filtered_syn_pcb1_seed_44,6a33b69c287ab54b54a0a85b53c5a37db45dd7c097b6a4adf621a1ed4357f2e8,filtered_syn,filtered_syn,pcb1,44,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,1112,612,500,791,11,798,442,402,40,0.3115264797507788,0.0,0.1248134328358209,0.5024875621890548,3.1747636795043945,45.063232600004994,61088c9c0973a5221ed11f1ff9c28379451b4a0a7f3f87f2e24acd8d543d4f07,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_filtered_syn_capsules_seed_43,6291cc135024ec319fd779a15c89376a3f53d11a71b7bec30338f9b8c3b327fd,filtered_syn,filtered_syn,capsules,43,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,871,371,500,815,9,776,281,241,40,0.33775983968614615,0.1256544502617801,0.3195020746887967,0.5767634854771784,3.1747636795043945,45.784497399996326,f804ad749d972c7bab06714230c17c08eed9b28ff30a8acefd68ec16f09dab50,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
m16_filtered_syn_capsules_seed_44,b6edc4b2def6a1527eea774dc6c87ea512498599e850ab238a56764e083419e1,filtered_syn,filtered_syn,capsules,44,convnext_tiny.fb_in1k,b43a6303c9fcf176d2d707478a128c2c91e93528,384,100,16,1e-05,0.05,871,371,500,791,11,798,281,241,40,0.37379040098113997,0.1286549707602339,0.3690871369294606,0.4979253112033195,3.1747636795043945,46.85273279999819,5a57d90f134316527cb734f3825ae5d13eae8fe994a5a93783c7a9396055e9ea,3d3c385cf0ff78479ecf90b4faf25fc07c88830e043616fb15aefb1282983e8c,7021234d0bef51926832591d60c205fa7273e0cc32fd0ae5348740094b060ea2
